amenity,total_count,low_review_count,high_review_count
 IKEA - SYMFONISK Table lamp with WiFi speaker (Sonos) sound system,1,0,1
Biologico body soap,1,0,1
General Electric induction stove,1,0,1
americain  refrigerator,1,0,0
Dumbwaiter,1,0,0
LA VIE EN VERT body soap,1,0,0
Air-Fryer oven,1,0,1
Electrolux electric stove,1,0,1
Kayaks,1,0,0
Valet parking \u2014 $40/day,1,0,0
"68\"" HDTV with Netflix",1,0,1
Airplay and USB sound system with Bluetooth and aux,1,0,1
Cooktop 4 queimadores sem forno gas stove,1,0,1
and wardrobe,1,0,1
ONKYO sound system with aux,1,0,1
avec friseur refrigerator,1,0,0
occitaine conditioner,1,0,1
White Westinhouse refrigerator,1,0,1
White-Wesinghouse refrigerator,1,0,0
various luxury brands shampoo,1,0,0
Wood-burning fireplace,1,0,0
35 canais de r\u00e1dio e m\u00fasica na TV a cabo  sound system,1,0,1
neutral shampoo,1,0,1
Elevator,1,0,1
Onsite bar \u2014 Gleason's Tavern,1,0,0
Onsite restaurant \u2014 Fennel,1,0,0
small bar fridge refrigerator,1,0,1
Supplied on arrival only body soap,1,0,0
Westinghouse FTXM46 stainless steel oven,1,0,1
occitane conditioner,1,0,1
"49\"" HDTV with Apple TV",1,0,1
Better Earth shampoo,1,0,1
Mane'n Tail conditioner,1,0,0
Cote Bastide Argan toiletries,1,0,0
fisherparker refrigerator,1,0,0
Yves Rocher conditioner,1,0,1
Paid street parking off premises \u2013 BRL70 per day,1,0,1
plaque de cuisson 5 feux marque Neff gas stove,1,0,1
Small portable type.  oven,1,0,1
Older model stove - a lighter is required to ignite the gas. Lighter will be provided in the kitchen bench. gas stove,1,0,1
Pionner sound system with aux,1,0,0
Tramontina gas stove,1,0,1
Private outdoor heated lap pool,1,0,1
Marshall  Bluetooth sound system,1,0,1
Refrigerador pequeno,1,0,1
Paid street parking off premises \u2013 EUR4 per hour,1,0,1
Paid parking garage on premises \u2013 BRL10 per day,1,0,0
Clothing storage: wardrobe and dresser,1,0,1
sabonete liquido body soap,1,0,1
Gaggione refrigerator,1,0,0
Continental breakfast available \u2014 \u20ac9 per person per day,1,0,0
pantene or elidor conditioner,1,0,1
WHIRPOOL 6TH SENSE stainless steel oven,1,0,1
Books,1,0,0
Paid parking garage off premises \u2013 EUR40 per day,1,0,0
Just Lynne  body soap,1,0,1
Parrila con dos hornillas stainless steel electric stove,1,0,1
"40\"" HDTV with Roku",1,0,1
Dining area,1,0,0
Profilo b\u00fcy\u00fck boy dolap refrigerator,1,0,1
Balcony,1,0,0
Complimentary breakfast buffet,1,0,0
Free parking garage on premises \u2013 600 spaces,1,0,1
2 stove tops mini - not a full stove/oven. Suitable for small meals electric stove,1,0,0
4 bocas stainless steel gas stove,1,0,0
Consul,1,0,1
p&g or unilever products or equivalent body soap,1,0,1
ELETRICO BRITANIA oven,1,0,1
PlayStation,1,0,1
OX shampoo,1,0,1
"120\"" HDTV with Netflix",1,0,1
REBUL conditioner,1,0,0
"32\"" TV with Apple TV",1,0,1
Smeg Electric stainless steel oven,1,0,1
Bosch induction stove,1,0,1
LG stainless steel stove,1,0,1
WIRPOOL refrigerator,1,0,0
Dove ou Lux body soap,1,0,1
NEUTRO BALANCE body soap,1,0,1
Localizado no 3\u00ba andar no ed\u00edficio em frente com elevador. refrigerator,1,0,1
INDUSTRIAL stainless steel gas stove,1,0,0
regal refrigerator,1,0,1
"27\"" TV",1,0,1
Elektrol\u00fcx ve Beko stainless steel oven,1,0,1
Onsite bar \u2014 Clinton Hall & Rooftop Beer Garden,1,0,0
Self-parking \u2014 $45/stay,1,0,0
Whirlpool refrigerator,1,0,1
Continental stainless steel oven,1,0,1
Blanko stainless steel gas stove,1,0,1
Franck Provost conditioner,1,0,1
Brastemp Duplex Frost Free refrigerator,1,0,0
modelo de hotel. body soap,1,0,1
Cooktop Tramontina 04 bocas stainless steel gas stove,1,0,1
BEKO stainless steel oven,1,0,1
Lux and Organics body soap,1,0,1
BOSH refrigerator,1,0,0
Stand up paddle board,1,0,0
Onsite rooftop bar \u2014 Last Light,1,0,0
Bio-degradable Aloe Vera & Cucumber  body soap,1,0,0
elidor or pantene (p&g or unilever) body soap,1,0,1
"38\"" TV with Netflix",1,0,1
granado conditioner,1,0,1
Paid parking garage off premises \u2013 EUR24 per day,1,0,1
Phillips basic CD player sound system with aux,1,0,1
"32\"" HDTV with HBO Max",1,0,1
Wifi \u2013 950 Mbps,1,0,1
Conference room,1,0,0
forninho el\u00e9trico oven,1,0,1
Creative Bluetooth sound system,1,0,1
Marshall Stanmore sound system with Bluetooth and aux,1,0,1
Tresemm\u00e9 conditioner,1,0,1
"50\"" HDTV with Amazon Prime Video",1,0,1
Beach chairs,1,0,0
Muxima Guest House shampoo,1,0,0
uma porta com geladeira e freezer integrados refrigerator,1,0,1
Produits Carthusia toiletries,1,0,0
Aderma body soap,1,0,1
CAMAY PALMOLIVE body soap,1,0,1
Lavanda body soap,1,0,1
 Electrolux stainless steel oven,1,0,0
G\u00e1s oven,1,0,1
fresh & clean disinfected shampoo,1,0,1
starter set only shampoo,1,0,0
mini oven electric stove,1,0,1
Paid parking lot on premises \u2013 EUR10 per day,1,0,0
LA VIE EN VERT conditioner,1,0,0
Slippers,1,0,0
Triangle / Onkyo sound system with Bluetooth and aux,1,0,1
Organic conditioner,1,0,1
Dedicated workspace: office chair,1,0,1
Full size General Electric refrigerator,1,0,0
Homepod (Apple) sound system,1,0,1
Wifi \u2013 80 Mbps,1,0,0
Dedicated workspace: desk,1,0,0
Free parking garage on premises \u2013 100 spaces,1,0,1
Wifi \u2013 46 Mbps,1,0,0
Smeg with ice and water dispenser refrigerator,1,0,1
Siemens,1,0,1
Bar fridge only refrigerator,1,0,1
Le CREUSET LUXURY induction stove,1,0,1
L'Occitane de Provence  shampoo,1,0,0
\u0e4cNatural soap body soap,1,0,1
"32\"" TV with Chromecast",1,0,1
Natura toiletries,1,0,0
Onsite bar \u2014 Les Dames,1,0,0
"48\"" HDTV with Apple TV",1,0,1
Shampoo Mini de cortesia shampoo,1,0,1
fischer and Pykel refrigerator,1,0,1
O forno est\u00e1 com defeito. Mas os queimadores em bom estado gas stove,1,0,1
miele stainless steel oven,1,0,1
Onsite bar \u2014 Molyvos Restaurant - Bar,1,0,0
Nuxe toiletries,1,0,0
Sukin Shampoo shampoo,1,0,1
Magic Chef refrigerator,1,0,1
Ar\u00e7el\u0131c refrigerator,1,0,0
fridgidaire refrigerator,1,0,1
combi r\u00e9frig\u00e9rateur & 4* freezer refrigerator,1,0,1
neutro hipoalergenico body soap,1,0,1
iPad Air sound system,1,0,0
Ceramic hob top electric stove,1,0,0
L' Occitane body soap,1,0,0
Paid parking lot off premises \u2013 TRY35 per day,1,0,0
Bar Fridge. Under counter. refrigerator,1,0,1
defy small fridge refrigerator,1,0,1
Prescription Lab toiletries,1,0,0
LG sound system,1,0,1
DeLonghi induction stove,1,0,1
Toni & Guy conditioner,1,0,1
Agratto stainless steel electric stove,1,0,1
bosche stainless steel oven,1,0,0
"95\"" HDTV",1,0,0
Loredana body soap,1,0,1
CANDY stainless steel oven,1,0,1
dial body soap,1,0,1
de hotelaria,1,0,1
Caixas de som bluetooth embutidas para conex\u00e3o pelo celular Bluetooth sound system,1,0,1
Acoplado ao fog\u00e3o,1,0,1
Ceiling audio receiver speakers Bluetooth sound system,1,0,1
v\u00e1riadas body soap,1,0,1
Valet parking \u2014 $200/day,1,0,0
PHEBO body soap,1,0,1
Fraga gas stove,1,0,0
ELETROLUX stainless steel gas stove,1,0,0
Paid parking lot on premises \u2013 EUR7 per day,1,0,1
Amenidad peque\u00f1a por estancias body soap,1,0,0
"132\"" HDTV with standard cable",1,0,1
Sauter oven,1,0,1
frost free eletrolux refrigerator,1,0,0
Free driveway parking on premises \u2013 7 spaces,1,0,1
Dove ou Nivea body soap,1,0,1
Eurogas  stainless steel electric stove,1,0,0
Franke stainless steel oven,1,0,1
"24\"" HDTV with Chromecast",1,0,1
Esmaltec 4 Bocas gas stove,1,0,1
Convencional oven,1,0,1
Game console: Nintendo Switch,1,0,1
Euro Gas stainless steel oven,1,0,0
Bio La vie Claire shampoo,1,0,0
Moderno apartamento com WIFI conditioner,1,0,1
Miss lyn body soap,1,0,0
Sub Zero refrigerator,1,0,0
AEG 750 Built-in under counter stainless steel oven,1,0,1
Iwori - Beauty without Cruelty shampoo,1,0,1
Gated community,1,0,0
fica disposi\u00e7\u00e3o do hospede body soap,1,0,1
Frigedare stainless steel oven,1,0,0
"102\"" HDTV with standard cable",1,0,1
organics shampoo,1,0,1
inside the room and in the living room refrigerator,1,0,1
"110\"" HDTV with Netflix",1,0,1
Altus stainless steel electric stove,1,0,1
Bar Fridge  refrigerator,1,0,1
Karaoke machine,1,0,0
Defy (Electric) stainless steel oven,1,0,1
Dial body soap,1,0,1
Glass Stove Top (Touch control) electric stove,1,0,1
Cussons Oatmeal body soap,1,0,1
BOSE & SONY sound system with Bluetooth and aux,1,0,1
UeBoom Bluetooth sound system,1,0,1
Induction stove,1,0,0
2 burner induction cooktop.  We provide pots and pans. induction stove,1,0,1
Google Smart Speakers Bluetooth sound system,1,0,1
"45\"" HDTV with premium cable",1,0,0
"49\"" HDTV with premium cable",1,0,0
Wifi \u2013 132 Mbps,1,0,1
Eletrolux oven,1,0,1
creative sound system with Bluetooth and aux,1,0,1
Elseve Loreal conditioner,1,0,1
Frigobar dentro quarto refrigerator,1,0,1
"55\"" HDTV with Netflix",1,0,1
Ar\u00e7elik oven,1,0,0
bose sound system with Bluetooth and aux,1,0,1
"36\"" HDTV with Netflix",1,0,1
Game console: PS5 and Xbox 360,1,0,0
Paid parking garage on premises \u2013 BRL50 per day,1,0,1
4 Bocas gas stove,1,0,1
posso colcoar fog\u00e3o el\u00e9trico 2 bocas mediante pedido electric stove,1,0,0
brastemp oven,1,0,1
Suave shampoo,1,0,1
N\u00e3o \u00e9 um fog\u00e3o ,1,0,0
Glass top hob electric stove,1,0,1
Paid parking garage off premises \u2013 EUR4 per hour,1,0,1
M\u00e3os e banho body soap,1,0,1
Paid parking garage off premises \u2013 TRY25 per day,1,0,1
Polk Bar sound system with Bluetooth and aux,1,0,0
R\u00e1dio Rel\u00f3gio Philips \u2013 Modelo: AJ70300/12 na cor preta Bluetooth sound system,1,0,1
Palmolive Classic shampoo,1,0,1
Counter Top oven oven,1,0,1
multiple hotel-size trials of high-end brands conditioner,1,0,1
"26\"" HDTV with Netflix",1,0,1
Creative sound system with Bluetooth and aux,1,0,0
O forno funciona apenas em temperatura alta. oven,1,0,1
Heated floors,1,0,0
Valet parking \u2014 \u20ac50/day,1,0,0
TV with standard cable,1,0,1
Paid parking garage on premises \u2013 $10 per day,1,0,0
ASPAR botanically active products created with care and expertise by therapists at our award-winning Aurora spas. conditioner,1,0,0
Beko oven,1,0,1
Teca oven,1,0,1
elidor,1,0,1
Lux Luxury fragrant body soap body soap,1,0,1
Pert conditioner,1,0,1
Roberto Naldi Collection toiletries,1,0,0
Two Burner Induction stovetop.  We provide pots & pans. induction stove,1,0,1
Dove            Nutritive Secrets shampoo,1,0,1
Clothing storage: closet,1,0,1
\u00c7etinta\u015f stainless steel oven,1,0,1
Marshall  sound system with Bluetooth and aux,1,0,1
L\u2019Or\u00e9al  conditioner,1,0,1
head & shoulders conditioner,1,0,1
Portable single plate induction stove,1,0,1
Heated infinity pool,1,0,0
Paid parking lot off premises \u2013 $4 per day,1,0,0
4 spaces,1,0,1
full size stove and oven stainless steel oven,1,0,0
Siemens built-in oven oven,1,0,1
TV with Netflix,1,0,0
REBUL body soap,1,0,0
Wifi \u2013 3167 Mbps,1,0,1
Salton mini kitchen oven,1,0,1
Wifi \u2013 47 Mbps,1,0,1
Teca stainless steel gas stove,1,0,1
Nioxin  shampoo,1,0,0
Palmolive or Radox body soap,1,0,1
"25\"" TV with Chromecast",1,0,1
CANDY induction stove,1,0,1
Kumtel stainless steel electric stove,1,0,1
lihljkhkljhklj shampoo,1,0,1
Forno el\u00e9trico pequeno na cozinha compartilhada.  oven,1,0,1
keep care body soap,1,0,1
Netflix,1,0,1
"37\"" TV with Amazon Prime Video",1,0,1
badedas/nivea shampoo,1,0,1
Whitehouse body soap,1,0,1
CANDY refrigerator,1,0,1
Brands vary. body soap,1,0,1
Free washer,1,0,0
Edifier sound system with Bluetooth and aux,1,0,1
per mani/viso/doccia body soap,1,0,1
Tres Seme shampoo,1,0,1
hotel body soap,1,0,0
Function of Beauty conditioner,1,1,0
Bose Soundtouch sound system,1,0,0
Nuxe/Caudalie toiletries,1,0,0
eurogas stainless steel gas stove,1,1,0
bertazonni stainless steel gas stove,1,0,0
"52\"" HDTV with standard cable",1,0,1
Consul 280L refrigerator,1,0,1
Shared indoor heated olympic-sized saltwater pool,1,0,1
Org\u00e1nico shampoo,1,0,1
Rooibos body soap,1,0,0
Radox body soap,1,0,1
Onsite restaurant \u2014 canteenM-open 24/7,1,0,0
Eletrolux a\u00e7o 5 bocas stainless steel gas stove,1,0,1
Subzero refrigerator,1,0,1
Tipo amenities hotel shampoo,1,0,1
cheapo body soap,1,0,1
Arcelik oven,1,0,0
Wifi \u2013 42 Mbps,1,0,1
assorted body soap,1,0,1
Shampoo Conditioner conditioner,1,0,1
Fitness center,1,0,0
cheap body soap,1,0,1
Vulcan oven,1,0,1
Mayfair  refrigerator,1,0,0
BOSCH induction stove,1,0,1
Dual vanity,1,0,1
Broadway branded shampoo,1,0,0
kalvinator stainless steel oven,1,0,1
Mekappa stainless steel oven,1,0,0
Miele  stainless steel oven,1,0,1
Intermarket  shampoo,1,0,1
Woolworths  body soap,1,0,1
supplied on arrival only shampoo,1,0,0
Paid parking lot on premises \u2013 BRL45 per day,1,0,1
Artusi refrigerator,1,0,1
AEG touch stainless steel electric stove,1,0,1
wella conditioner,1,0,1
Paid parking lot off premises \u2013 MXN200 per day,1,0,1
Paid parking lot off premises \u2013 MXN90 per stay,1,0,1
Dining area for 4 people,1,0,0
bluetooth  speaker Bluetooth sound system,1,0,1
Game console: PS4 and Xbox One,1,0,0
Head & Shoulder 2 in 1 shampoo,1,0,1
Propane barbeque,1,0,0
Onsite restaurant \u2014 Grab & Go,1,0,0
Insedit refrigerator,1,0,0
Free dryer\u2013In unit,1,0,0
"24\"" HDTV with premium cable",1,0,1
Soapbox body soap,1,0,1
Sonas sound system with Bluetooth and aux,1,0,0
Whirlpool oven,1,0,1
Lemongrass and Jasmin-Mint Hotel fragrance selected products body soap,1,0,1
TV with Amazon Prime Video,1,0,1
Gaggenau refrigerator,1,0,1
samsung sound bar Bluetooth sound system,1,0,1
Toshiba refrigerator,1,0,0
Walk-in pantry,1,0,0
BLENDAKS body soap,1,0,0
LG Touch refrigerator,1,0,1
Induced cooker induction stove,1,0,1
Very hot oven,1,0,1
Wonderboom Bluetooth sound system,1,0,1
ROSIERES electric stove,1,0,1
Com freezer refrigerator,1,0,1
Arbonne shampoo,1,0,0
Paid parking garage on premises \u2013 ZAR75 per day,1,0,1
Bar Fridge refrigerator,1,0,1
WOOLWORTHS body soap,1,0,1
"41\"" HDTV with premium cable",1,0,1
Brastemp side by side refrigerator,1,0,1
Two Burner Induction Cooktop.  We provide pots & pans. induction stove,1,0,1
Shared indoor heated rooftop pool,1,0,1
Natura TodoDia body soap,1,0,1
seb oven,1,0,0
The botanist shampoo,1,0,1
SMEG stainless steel stove,1,0,0
Acompanha o fogao oven,1,0,1
Plaque de cuisson oven,1,0,1
Shared indoor olympic-sized pool,1,0,1
Blu-Ray player,1,0,0
Sabonete l\u00edquido na pia do banheiro body soap,1,0,1
Granado Phebo body soap,1,0,1
Port\u00e1til 2 bocas electric stove,1,0,1
GE  electric stove,1,1,0
Fog\u00e3o a gas de 4 bocas gas stove,1,0,1
sorbet hand soap body soap,1,0,1
"46\"" TV with standard cable",1,0,1
Samsung with ice machine and purified water dispenser refrigerator,1,0,1
blendax or pantene conditioner,1,0,1
Woolworths shampoo,1,0,1
Charlotte Rhys body soap,1,0,1
Shared refrigerator & freezer. refrigerator,1,0,1
SIEMENS induction stove,1,0,1
SMEG stove,1,0,1
Refrigerador Frost Free Duplex Electrolux refrigerator,1,0,1
Wirpool stainless steel oven,1,0,1
"31\"" HDTV with Netflix",1,0,1
Chromecast audio,1,0,1
Rio Spot Homes body soap,1,0,1
protect body soap,1,0,1
Altus refrigerator,1,0,1
Fisher Paykel refrigerator,1,0,1
Onsite bar \u2014 Niwa Bistro Cafe,1,0,0
LOREAL shampoo,1,0,1
high end shampoo and conditioner shampoo,1,0,0
Paid parking garage off premises \u2013 $45 per day,1,0,0
Diverso shampoo,1,0,0
FRAGONARD toiletries,1,0,0
Vegan high end brand shampoo,1,0,1
BOSE SOUNDBAR  Bluetooth sound system,1,0,1
 Electrolux stainless steel gas stove,1,0,0
Conditioner conditioner,1,0,0
"44\"" HDTV with Amazon Prime Video",1,0,1
embalagem da casa  Copacabana,1,0,1
OMEGA stainless steel gas stove,1,0,0
Paid parking garage on premises \u2013 BRL15 per day,1,0,0
Cadum body soap,1,0,1
variada conditioner,1,0,1
La Diva Exclusive body soap,1,0,1
Clothing storage: closet and dresser,1,0,1
electric electric stove,1,0,1
with freezer refrigerator,1,0,0
Dr. Bronner's body soap,1,0,1
Paid parking garage off premises \u2013 EUR10 per hour,1,0,0
Siemens stainless steel gas stove,1,0,1
Apple  Bluetooth sound system,1,0,1
L'Erbolario ginepro nero shampoo,1,0,1
g\u00e1s oven,1,0,1
Paid valet parking on premises,1,0,1
Wifi \u2013 30 Mbps,1,0,1
Mane 'n Tail shampoo,1,0,0
large toaster oven oven,1,0,1
NEFF stainless steel oven,1,0,1
Bluetooth / TV Bluetooth sound system,1,0,1
Monoprix body soap,1,0,1
Paid parking lot on premises \u2013 MXN200 per day,1,0,1
Sony Home Theather Bluetooth sound system,1,0,1
"50\"" HDTV with Roku",1,0,1
"Johnson\""s body soap",1,0,0
Dove body soap,1,0,1
Pentene body soap,1,0,1
LUX ,1,0,1
Wifi \u2013 44 Mbps,1,0,1
Electric  stainless steel oven,1,0,1
UPNP / Air sound system with aux,1,0,1
granado shampoo,1,0,1
Miele gas stove,1,0,0
Pets allowed,1,0,1
Sabonete de Erva Doce  body soap,1,0,1
"50\"" TV with premium cable",1,0,1
BOSE sound system with Bluetooth and aux,1,0,1
Jetted tub,1,0,0
Paid parking garage off premises \u2013 BRL50 per day,1,0,1
Hangers,1,0,0
Officine del Mugello (vegan ok) body soap,1,0,0
Pantene and Head & Shoulders shampoo,1,0,1
Paid parking off premises \u2013 BRL10 per day,1,0,0
"56\"" HDTV",1,0,1
elidor blendax or pantene shampoo,1,0,1
Electrolux stainless steel induction stove,1,0,1
Game console: Xbox 360,1,0,0
"20\"" TV with standard cable",1,0,1
AEG stainless steel electric stove,1,0,1
Smoking allowed,1,0,1
Arcelik  refrigerator,1,0,0
Brastemp inverse refrigerator,1,0,0
vidal body soap,1,0,1
Organic  body soap,1,0,1
Paid parking garage on premises \u2013 $24 per stay,1,0,1
Fog\u00e3o 4 bocas Itatiaia com forno e acendimento manual gas stove,1,0,0
Palmolive Milk and Honey body soap,1,0,1
Generic Vegan shampoo,1,0,1
Grisi body soap,1,0,1
bertazonni  refrigerator,1,0,0
HITACHI refrigerator,1,0,0
Beko gas stove,1,0,1
Gautier Bluetooth sound system,1,0,1
Dove ou similar body soap,1,0,1
Whirpool stainless steel oven,1,0,1
Marca Libre: neutro jab\u00f3n l\u00edquido corporal body soap,1,0,1
Aesop  body soap,1,0,1
Single burner countertop range electric stove,1,0,0
\u00e9 um fog\u00e3o de apenas uma boca induction stove,1,0,1
Lounge area,1,0,0
Flea Market Bluetooth sound system,1,0,1
hear and shoulder shampoo,1,0,1
Marca stainless steel gas stove,1,0,1
Brand may vary - high quality conditioner,1,0,0
Damana body soap,1,0,0
Dr. Bronners body soap,1,0,0
Wifi \u2013 1515 Mbps,1,0,1
Convection microwave oven,1,0,1
francis body soap,1,0,1
RCA sound system,1,0,1
Fisher and paykel refrigerator,1,0,0
Esty stainless steel oven,1,0,1
Private outdoor infinity pool,1,0,1
Self-parking \u2014 $51/day,1,0,0
VESTEL stainless steel oven,1,0,0
logitech Bluetooth sound system,1,0,1
Paid parking garage on premises \u2013 EUR8 per day,1,0,1
\u00e9 um fogareiro el\u00e9trico de 1 boca. electric stove,1,0,0
Mini toaster oven with two electric plates on top.  electric stove,1,0,1
Paid parking garage on premises \u2013 AUD10 per day,1,0,1
Shampoo Biologico shampoo,1,0,1
MIlton Brown body soap,1,0,1
Wifi \u2013 53 Mbps,1,0,1
Siemens oven,1,0,0
"153\"" HDTV with Amazon Prime Video",1,0,1
organic body soap,1,0,1
Smeg gas top elec oven stainless steel gas stove,1,0,1
Fischer Cooktop 2 bocas gas stove,1,0,1
Onsite bar \u2014 Nicolo,1,0,0
El\u00e9trico pequeno (Forninho) oven,1,0,1
DAEWOO refrigerator,1,0,1
Elva Domino Hob stainless steel electric stove,1,0,1
Wifi \u2013 10030 Mbps,1,0,1
Lg sound system with aux,1,0,0
L\u00edquido  Granado/  body soap,1,0,1
bose speaker Bluetooth sound system,1,0,1
"107\"" HDTV",1,0,1
and closet,1,0,1
a g\u00e1s. oven,1,0,1
Countertop Hotplate electric stove,1,0,1
bergman kelly conditioner,1,0,1
Org\u00e1nico body soap,1,0,1
bosh oven,1,0,1
Sam Sung refrigerator,1,0,0
loreal shampoo,1,0,0
Molten Brown body soap,1,0,1
"64\"" HDTV with Apple TV",1,0,1
Lirio o similar body soap,1,0,1
Small electric 2 plate hob and oven electric stove,1,0,1
Habeb stainless steel electric stove,1,0,1
KIRKLAND refrigerator,1,0,0
WHIRLPOOL gas stove,1,0,1
Mex stainless steel electric stove,1,0,1
Onsite bar \u2014 Crown Shy,1,0,0
Air conditioning,1,0,0
bio shampoo,1,0,0
Paid parking garage off premises \u2013 $3 per hour,1,0,1
Indu\u00e7\u00e3o da Eletrolux e um outro eletrico induction stove,1,0,1
DOVE Nutritive Secrets shampoo,1,0,1
Bluetooth,1,0,1
Naim audio et enceintes avant Sc\u00e8ne sound system,1,0,1
Uriage body soap,1,0,1
different brands at different times body soap,1,0,1
O xampu j\u00e1 \u00e9 com condicionador. conditioner,1,0,1
"40\"" TV with Apple TV",1,0,1
Dining area for 5 people,1,0,0
Clothing storage: wardrobe,1,0,1
piastre electric stove,1,0,0
"75\"" HDTV with standard cable",1,0,1
Onsite restaurant \u2014 Klein's,1,0,0
enceinte bluetooth Marshall Bluetooth sound system,1,0,1
Marshall sound system,1,0,0
rosi\u00e8re stainless steel induction stove,1,0,1
ASPAR botanically active products created with care and expertise by therapists at our award-winning Aurora spas. body soap,1,0,0
TV Samsung sound system with Bluetooth and aux,1,0,1
Aesops conditioner,1,0,1
franke stainless steel oven,1,0,1
Daniela oven,1,0,1
Chef oven,1,0,1
Vicini alum\u00ednio 2 bocas electric stove,1,0,1
Paid parking lot off premises \u2013 EUR7 per day,1,0,1
Whirlpool gas stove,1,0,1
Marshall Speaker Bluetooth sound system,1,0,1
Security system,1,0,1
da casa body soap,1,0,1
REBUL shampoo,1,0,0
"49\"" TV with Netflix",1,0,0
Onsite restaurant \u2014 Cancino,1,0,0
Paid parking lot on premises \u2013 40 spaces,1,0,1
NEF gas stovetop stainless steel gas stove,1,0,0
Inc refrigerator,1,0,1
L\u00d3ccitane conditioner,1,0,1
Savonnettes body soap,1,0,1
Hot induction plate electric stove,1,0,1
TV with Chromecast,1,0,0
Putting green,1,0,0
Double fridge refrigerator,1,0,1
Davell stainless steel gas stove,1,0,1
Pert plus shampoo,1,0,1
cooktop 2 bocas a g\u00e1s  gas stove,1,0,1
Clicks body soap,1,0,1
samsung sound system with Bluetooth and aux,1,0,0
Basico conditioner,1,0,1
"139\"" HDTV with standard cable",1,0,1
"24\"" TV",1,0,1
Sound Life Bluetooth sound system,1,0,1
Dove  body soap,1,0,0
Fisher & Paykel gas stove,1,0,0
Gliss,1,0,1
ORGANIC conditioner,1,0,0
Paid parking on premises \u2013 3 spaces,1,0,0
"143\"" HDTV with Chromecast",1,0,1
SONOS sound system,1,0,1
bio conditioner,1,0,0
Half fridge refrigerator,1,1,0
Bose  sound system,1,0,1
sans d\u00e9conner ? conditioner,1,0,1
propia body soap,1,0,1
SIEMENS oven,1,0,1
Valet parking \u2014 $45/day,1,0,0
Onsite restaurant \u2014 Bel Ami Caf\u00e9,1,0,0
Beko induction stove,1,0,1
conditioner,1,0,1
cortana Bluetooth sound system,1,0,1
Devialet Bluetooth sound system,1,0,1
Paid street parking off premises \u2013 EUR6 per day,1,0,1
sony sound system with aux,1,0,1
Stainless steel induction stove,1,0,0
A la reception refrigerator,1,0,0
Pantein shampoo,1,0,1
our product shampoo,1,0,1
Valet parking \u2014 $60/day,1,0,0
Smart TV,1,0,0
Valet parking \u2014 \u20ac45/day,1,0,0
sony Bluetooth sound system,1,0,0
Central conditioner,1,0,0
Continental stainless steel gas stove,1,0,1
Wifi \u2013 1200 Mbps,1,0,1
DJ-CODE body soap,1,0,1
WHIRPOOL stainless steel oven,1,0,1
DIAL body soap,1,0,1
Elva stainless steel oven,1,0,1
Blender,1,0,0
Security monitors,1,0,0
TOSHIBA refrigerator,1,0,0
Self-parking \u2014 $40/stay,1,0,0
Complimentary self-serve breakfast,1,0,0
Weleda body soap,1,0,1
Dove            Nutritive Secrets conditioner,1,0,1
Heisens refrigerator,1,0,0
Denon ; Megaboom sound system with Bluetooth and aux,1,0,1
avec congelateur refrigerator,1,0,1
DAMANA body soap,1,0,0
por wifi Bluetooth sound system,1,0,1
GEC stainless steel gas stove,1,0,1
"52\"" TV",1,0,0
Ar\u00e7elik  refrigerator,1,0,0
Shared indoor infinity pool,1,0,0
Brand may vary - high quality body soap,1,0,0
JBL Surround Sound Bluetooth sound system,1,0,1
ELECTROLUX stainless steel oven,1,0,0
Free driveway parking on premises \u2013 5 spaces,1,0,1
Lux ou similar body soap,1,0,1
Shared outdoor heated rooftop pool,1,0,1
generic conditioner,1,0,1
Loredana conditioner,1,0,1
Palmolive and organic conditioner,1,0,1
Safety gate,1,0,0
"37\"" HDTV with premium cable",1,0,1
"50\"" HDTV with premium cable",1,0,0
Onsite rooftop bar \u2014 Mykonos Bleu Restaurant & Rooftop,1,0,0
Onsite restaurant \u2014 Restaurant Cantina,1,0,0
"48\"" TV with standard cable",1,0,1
miele  oven,1,0,0
Thomson sound system with Bluetooth and aux,1,0,1
Dove pink bath bar body soap,1,0,0
JVC sound system with Bluetooth and aux,1,0,1
Samsung sound system with aux,1,0,1
Yerli \u00dcr\u00fcn body soap,1,0,0
Lux body soap,1,0,1
rebul shampoo,1,0,0
Venix  retr\u00f4 2 bocas chamas altas com forninho gas stove,1,0,0
Siemens  induction stove,1,0,1
Fine London Soaps body soap,1,0,1
Wirlpool stainless steel gas stove,1,0,1
French Door Full Sized Fridge refrigerator,1,0,1
Lounge area,1,0,0
Cooktop duas bocas el\u00e9trico stainless steel electric stove,1,0,1
Nubian Heritage Black Soap body soap,1,0,1
"40\"" HDTV",1,0,0
Wet bar,1,0,0
Aesop,1,0,0
Denon / Marshall sound system with Bluetooth and aux,1,0,1
"22\"" TV with standard cable",1,0,1
"81\"" TV",1,0,1
Chef electric stove,1,0,1
Brastemp Inverter refrigerator,1,0,1
Ox conditioner,1,0,1
L\u00f3ccitane body soap,1,0,1
LG Stove stainless steel electric stove,1,0,1
Sharp convection and grill microwave stainless steel oven,1,0,1
Wifi \u2013 18 Mbps,1,0,1
Dr. Bronners body soap,1,0,1
FreeSens,1,0,1
Wifi \u2013 71 Mbps,1,0,1
Haier 222l refrigerator,1,0,1
"18\"" TV with standard cable",1,0,1
"47\"" HDTV with Netflix",1,0,1
Puracy plant based and natural conditioner,1,0,1
